 	reachable	movable	pourable	reachable	drinkable	openable	placeable	closeable	stationary	cleanable	
eating	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
drinking	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	
opening	0.0	0.0	0.0	0.0	0.0	0.03969465648854962	0.0	0.0	0.0	0.0	
placing	0.0	0.0	0.0	0.0	0.0	0.0	0.13969465648854962	0.0	0.00916030534351145	0.0	
closing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02748091603053435	0.0	0.0	
null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25572519083969464	0.0	
cleaning	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0183206106870229	
sum 1.0 	reachable	movable	pourable	reachable	drinkable	openable	placeable	closeable	stationary	cleanable	
reaching	0.0	0.0	0.0	0.2099236641221374	0.0	0.0	0.0	0.0	0.00916030534351145	0.0	
moving	0.0	0.2152671755725191	0.0	0.0	0.0	0.0	0.0022900763358778627	0.0	0.0	0.0	
pouring	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	
eating	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
drinking	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	
opening	0.0	0.0	0.0	0.0	0.0	0.03969465648854962	0.0	0.0	0.0	0.0	
placing	0.0	0.0	0.0	0.0	0.0	0.0	0.13969465648854962	0.0	0.00916030534351145	0.0	
closing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02748091603053435	0.0	0.0	
null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25572519083969464	0.0	
cleaning	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0183206106870229	
sum 1.0 	reachable	movable	pourable	reachable	drinkable	openable	placeable	closeable	stationary	cleanable	
reaching	0.0	0.0	0.0	0.2099236641221374	0.0	0.0	0.0	0.0	0.00916030534351145	0.0	
moving	0.0	0.2152671755725191	0.0	0.0	0.0	0.0	0.0022900763358778627	0.0	0.0	0.0	
pouring	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	
eating	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
drinking	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	
opening	0.0	0.0	0.0	0.0	0.0	0.03969465648854962	0.0	0.0	0.0	0.0	
placing	0.0	0.0	0.0	0.0	0.0	0.0	0.13969465648854962	0.0	0.00916030534351145	0.0	
closing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02748091603053435	0.0	0.0	
null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25572519083969464	0.0	
cleaning	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0183206106870229	
sum 1.0 	reachable	movable	pourable	reachable	drinkable	openable	placeable	closeable	stationary	cleanable	
reaching	0.0	0.0	0.0	0.2099236641221374	0.0	0.0	0.0	0.0	0.00916030534351145	0.0	
moving	0.0	0.2152671755725191	0.0	0.0	0.0	0.0	0.0022900763358778627	0.0	0.0	0.0	
pouring	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	
eating	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
drinking	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	
opening	0.0	0.0	0.0	0.0	0.0	0.03969465648854962	0.0	0.0	0.0	0.0	
placing	0.0	0.0	0.0	0.0	0.0	0.0	0.13969465648854962	0.0	0.00916030534351145	0.0	
closing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02748091603053435	0.0	0.0	
null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25572519083969464	0.0	
cleaning	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0183206106870229	
sum 1.0 	reachable	movable	pourable	reachable	drinkable	openable	placeable	closeable	stationary	cleanable	
reaching	0.0	0.0	0.0	0.2099236641221374	0.0	0.0	0.0	0.0	0.00916030534351145	0.0	
moving	0.0	0.2152671755725191	0.0	0.0	0.0	0.0	0.0022900763358778627	0.0	0.0	0.0	
pouring	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	
eating	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
drinking	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	
opening	0.0	0.0	0.0	0.0	0.0	0.03969465648854962	0.0	0.0	0.0	0.0	
placing	0.0	0.0	0.0	0.0	0.0	0.0	0.13969465648854962	0.0	0.00916030534351145	0.0	
closing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02748091603053435	0.0	0.0	
null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25572519083969464	0.0	
cleaning	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0183206106870229	
sum 1.0 	reachable	movable	pourable	reachable	drinkable	openable	placeable	closeable	stationary	cleanable	
reaching	0.0	0.0	0.0	0.2099236641221374	0.0	0.0	0.0	0.0	0.00916030534351145	0.0	
moving	0.0	0.2152671755725191	0.0	0.0	0.0	0.0	0.0022900763358778627	0.0	0.0	0.0	
pouring	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	
eating	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
drinking	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	
opening	0.0	0.0	0.0	0.0	0.0	0.03969465648854962	0.0	0.0	0.0	0.0	
placing	0.0	0.0	0.0	0.0	0.0	0.0	0.13969465648854962	0.0	0.00916030534351145	0.0	
closing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02748091603053435	0.0	0.0	
null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25572519083969464	0.0	
cleaning	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0183206106870229	
sum 1.0 	reachable	movable	pourable	reachable	drinkable	openable	placeable	closeable	stationary	cleanable	
reaching	0.0	0.0	0.0	0.2099236641221374	0.0	0.0	0.0	0.0	0.00916030534351145	0.0	
moving	0.0	0.2152671755725191	0.0	0.0	0.0	0.0	0.0022900763358778627	0.0	0.0	0.0	
pouring	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	
eating	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
drinking	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	
opening	0.0	0.0	0.0	0.0	0.0	0.03969465648854962	0.0	0.0	0.0	0.0	
placing	0.0	0.0	0.0	0.0	0.0	0.0	0.13969465648854962	0.0	0.00916030534351145	0.0	
closing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02748091603053435	0.0	0.0	
null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25572519083969464	0.0	
cleaning	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0183206106870229	
sum 1.0 	reachable	movable	pourable	reachable	drinkable	openable	placeable	closeable	stationary	cleanable	
reaching	0.0	0.0	0.0	0.2099236641221374	0.0	0.0	0.0	0.0	0.00916030534351145	0.0	
moving	0.0	0.2152671755725191	0.0	0.0	0.0	0.0	0.0022900763358778627	0.0	0.0	0.0	
pouring	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	
eating	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
drinking	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	
opening	0.0	0.0	0.0	0.0	0.0	0.03969465648854962	0.0	0.0	0.0	0.0	
placing	0.0	0.0	0.0	0.0	0.0	0.0	0.13969465648854962	0.0	0.00916030534351145	0.0	
closing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02748091603053435	0.0	0.0	
null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25572519083969464	0.0	
cleaning	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0183206106870229	
sum 1.0 	reachable	movable	pourable	reachable	drinkable	openable	placeable	closeable	stationary	cleanable	
reaching	0.0	0.0	0.0	0.2099236641221374	0.0	0.0	0.0	0.0	0.00916030534351145	0.0	
moving	0.0	0.2152671755725191	0.0	0.0	0.0	0.0	0.0022900763358778627	0.0	0.0	0.0	
pouring	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	
eating	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
drinking	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	
opening	0.0	0.0	0.0	0.0	0.0	0.03969465648854962	0.0	0.0	0.0	0.0	
placing	0.0	0.0	0.0	0.0	0.0	0.0	0.13969465648854962	0.0	0.00916030534351145	0.0	
closing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02748091603053435	0.0	0.0	
null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25572519083969464	0.0	
cleaning	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0183206106870229	
sum 1.0 	reachable	movable	pourable	reachable	drinkable	openable	placeable	closeable	stationary	cleanable	
reaching	0.0	0.0	0.0	0.2099236641221374	0.0	0.0	0.0	0.0	0.00916030534351145	0.0	
moving	0.0	0.2152671755725191	0.0	0.0	0.0	0.0	0.0022900763358778627	0.0	0.0	0.0	
pouring	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	
eating	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
drinking	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	
opening	0.0	0.0	0.0	0.0	0.0	0.03969465648854962	0.0	0.0	0.0	0.0	
placing	0.0	0.0	0.0	0.0	0.0	0.0	0.13969465648854962	0.0	0.00916030534351145	0.0	
closing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02748091603053435	0.0	0.0	
null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25572519083969464	0.0	
cleaning	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0183206106870229	
sum 1.0 	reachable	movable	pourable	reachable	drinkable	openable	placeable	closeable	stationary	cleanable	
reaching	0.0	0.0	0.0	0.2099236641221374	0.0	0.0	0.0	0.0	0.00916030534351145	0.0	
moving	0.0	0.2152671755725191	0.0	0.0	0.0	0.0	0.0022900763358778627	0.0	0.0	0.0	
pouring	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	
eating	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
drinking	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	
opening	0.0	0.0	0.0	0.0	0.0	0.03969465648854962	0.0	0.0	0.0	0.0	
placing	0.0	0.0	0.0	0.0	0.0	0.0	0.13969465648854962	0.0	0.00916030534351145	0.0	
closing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02748091603053435	0.0	0.0	
null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25572519083969464	0.0	
cleaning	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0183206106870229	
sum 1.0 	reachable	movable	pourable	reachable	drinkable	openable	placeable	closeable	stationary	cleanable	
reaching	0.0	0.0	0.0	0.2099236641221374	0.0	0.0	0.0	0.0	0.00916030534351145	0.0	
moving	0.0	0.2152671755725191	0.0	0.0	0.0	0.0	0.0022900763358778627	0.0	0.0	0.0	
pouring	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	
eating	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
drinking	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	
opening	0.0	0.0	0.0	0.0	0.0	0.03969465648854962	0.0	0.0	0.0	0.0	
placing	0.0	0.0	0.0	0.0	0.0	0.0	0.13969465648854962	0.0	0.00916030534351145	0.0	
closing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02748091603053435	0.0	0.0	
null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25572519083969464	0.0	
cleaning	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0183206106870229	
sum 1.0 	reachable	movable	pourable	reachable	drinkable	openable	placeable	closeable	stationary	cleanable	
reaching	0.0	0.0	0.0	0.2099236641221374	0.0	0.0	0.0	0.0	0.00916030534351145	0.0	
moving	0.0	0.2152671755725191	0.0	0.0	0.0	0.0	0.0022900763358778627	0.0	0.0	0.0	
pouring	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	
eating	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
drinking	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	
opening	0.0	0.0	0.0	0.0	0.0	0.03969465648854962	0.0	0.0	0.0	0.0	
placing	0.0	0.0	0.0	0.0	0.0	0.0	0.13969465648854962	0.0	0.00916030534351145	0.0	
closing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02748091603053435	0.0	0.0	
null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25572519083969464	0.0	
cleaning	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0183206106870229	
sum 1.0 	reachable	movable	pourable	reachable	drinkable	openable	placeable	closeable	stationary	cleanable	
reaching	0.0	0.0	0.0	0.2099236641221374	0.0	0.0	0.0	0.0	0.00916030534351145	0.0	
moving	0.0	0.2152671755725191	0.0	0.0	0.0	0.0	0.0022900763358778627	0.0	0.0	0.0	
pouring	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	
eating	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
drinking	0.0	0.0	0.0	0.0	0.024427480916030534	0.0	0.0	0.0	0.0	0.0	
opening	0.0	0.0	0.0	0.0	0.0	0.03969465648854962	0.0	0.0	0.0	0.0	
placing	0.0	0.0	0.0	0.0	0.0	0.0	0.13969465648854962	0.0	0.00916030534351145	0.0	
closing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02748091603053435	0.0	0.0	
null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25572519083969464	0.0	
cleaning	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0183206106870229	
sum 1.0 	reachable	movable	pourable	reachable	drinkable	openable	placeable	closeable	stationary	cleanable	
reaching	0.0	0.0	0.0	0.24444444444444444	0.0	0.0	0.0	0.0	0.022222222222222223	0.0	
moving	0.0	0.12222222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
pouring	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
eating	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
drinking	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
opening	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	
placing	0.0	0.0	0.0	0.0	0.0	0.0	0.08888888888888889	0.0	0.022222222222222223	0.0	
closing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	
null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32222222222222224	0.0	
cleaning	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044444444444444446	
sum 1.0
